Rank;TZ;DAIO;Yr;mvts;;;
Base;Austria;AD;2023;289,198;;;
High;Austria;AD;2023;291,636;;;
Low;Austria;AD;2023;286,735;;;
Base;Austria;AD;2024;308,501;;;
High;Austria;AD;2024;315,563;;;
Low;Austria;AD;2024;301,206;;;
Base;Austria;AD;2025;314,030;;;
High;Austria;AD;2025;326,533;;;
Low;Austria;AD;2025;301,358;;;
Base;Austria;AD;2026;321,378;;;
High;Austria;AD;2026;338,521;;;
Low;Austria;AD;2026;304,044;;;
Base;Austria;AD;2027;327,858;;;
High;Austria;AD;2027;349,504;;;
Low;Austria;AD;2027;305,805;;;
Base;Austria;AD;2028;333,765;;;
High;Austria;AD;2028;359,528;;;
Low;Austria;AD;2028;307,436;;;
Base;Austria;AD;2029;337,218;;;
High;Austria;AD;2029;367,121;;;
Low;Austria;AD;2029;306,830;;;
Base;Azerbaijan;AD;2010;37,462;;;
Base;Azerbaijan;AD;2011;41,104;;;
Base;Azerbaijan;AD;2012;42,263;;;
Base;Azerbaijan;AD;2013;43,713;;;
Base;Azerbaijan;AD;2014;43,947;;;
Base;Azerbaijan;AD;2015;40,614;;;
Base;Azerbaijan;AD;2016;41,854;;;
Base;Azerbaijan;AD;2017;47,902;;;
Base;Azerbaijan;AD;2018;49,703;;;
Base;Azerbaijan;AD;2019;50,608;;;
Base;Azerbaijan;AD;2020;23,150;;;
Base;Azerbaijan;AD;2021;29,485;;;
Base;Azerbaijan;AD;2022;48,028;;;
High;Azerbaijan;AD;2022;48,028;;;
Low;Azerbaijan;AD;2022;48,028;;;
Base;Azerbaijan;AD;2023;56,183;;;
High;Azerbaijan;AD;2023;56,945;;;
Low;Azerbaijan;AD;2023;55,452;;;
Base;Azerbaijan;AD;2024;63,391;;;
High;Azerbaijan;AD;2024;66,104;;;
Low;Azerbaijan;AD;2024;61,231;;;
Base;Azerbaijan;AD;2025;65,165;;;
High;Azerbaijan;AD;2025;69,686;;;
Low;Azerbaijan;AD;2025;61,833;;;
Base;Azerbaijan;AD;2026;67,071;;;
High;Azerbaijan;AD;2026;73,259;;;
Low;Azerbaijan;AD;2026;62,775;;;
Base;Azerbaijan;AD;2027;68,978;;;
High;Azerbaijan;AD;2027;76,982;;;
Low;Azerbaijan;AD;2027;63,678;;;
Base;Azerbaijan;AD;2028;71,050;;;
High;Azerbaijan;AD;2028;81,024;;;
Low;Azerbaijan;AD;2028;64,704;;;
Base;Azerbaijan;AD;2029;72,899;;;
High;Azerbaijan;AD;2029;84,958;;;
Low;Azerbaijan;AD;2029;65,499;;;
Base;Baltic FAB;AD;2010;246,961;;;
Base;Baltic FAB;AD;2011;254,379;;;
Base;Baltic FAB;AD;2012;264,451;;;
Base;Baltic FAB;AD;2013;269,822;;;
